,State,negative
1,AK,1042056.0
2,AL,1421126.0
3,AR,1614979.0
4,AS,2140.0
5,AZ,2018813.0
6,CA,23853346.0
7,CO,1608829.0
8,CT,3294383.0
9,DC,711497.0
10,DE,400854.0
11,FL,6505237.0
12,GA,4032230.0
13,GU,79571.0
14,HI,295153.0
15,IA,885199.0
16,ID,398027.0
17,IL,10313641.0
18,IN,1928262.0
19,KS,676891.0
20,KY,2568543.0
21,LA,3356960.0
22,MA,3250728.0
23,MD,2225595.0
24,ME,900832.0
25,MI,6538482.0
26,MN,2301135.0
27,MO,1544226.0
28,MP,17010.0
29,MS,982395.0
30,MT,620339.0
31,NC,5216286.0
32,ND,274492.0
33,NE,631739.0
34,NH,415976.0
35,NJ,5918797.0
36,NM,1539888.0
37,NV,853647.0
38,NY,19888867.0
39,OH,6000686.0
40,OK,2008829.0
41,OR,2005617.0
42,PA,2929036.0
43,PR,305972.0
44,RI,482922.0
45,SC,2296092.0
46,SD,254004.0
47,TN,4289928.0
48,TX,10111653.0
49,UT,1180321.0
50,VA,3268822.0
51,VI,27660.0
52,VT,228865.0
53,WA,2958052.0
54,WI,2196722.0
55,WV,1168366.0
56,WY,144576.0
